user,webtoon_title,webtoon_num,webtoon_ratings
52,데드데이즈(DEAD DAYS),380,4
52,데모니악,383,1
52,도망자,397,4
52,두근거려요,422,3
52,로맨스는 살벌하게,473,4
52,로판 빙의 만화,479,3
52,마스크걸,516,3
52,뷰티풀 군바리,748,3.5
52,살人스타그램,824,3.5
52,수업시간그녀,923,3
52,시큼새큼,978,4.5
52,썸남,1021,4
52,아이덴티티,1050,3
52,악의는 없다,1081,4
52,약한영웅,1114,4
52,언원티드,1142,6
52,에피소드칵테일,1152,3.5
52,여중생A,1175,3
52,연애의 정령,1189,4
52,연애혁명,1191,4
52,오늘도 사랑스럽개,1228,6
52,외모지상주의,1286,3
52,우리 헤어졌어요,1306,6
52,운빨로맨스,1322,3
52,웃지 않는 개그반 시즌3,1327,2
52,윈드브레이커,1352,4
52,유미의 세포들 외전 : 프로 직장인,1358,5
52,이별만화 완성도,1389,4
52,자판귀,1444,4
52,재앙은 미묘하게,1459,3
52,전설의 레전드,1477,4
52,조의 영역,1502,4
52,좀비딸,1508,3.5
52,철벽! 연애 시뮬레이션,1601,4
52,최강전설 강해효,1617,4
52,타인은 지옥이다,1673,6
52,파도의 주인,1720,3
52,평범한 8반,1747,3.5
52,폭풍의 전학생,1756,6
52,프리드로우,1769,4
52,하이브 1~2,1815,4
52,하이브 3,1816,4
52,화이트멜로우,1906,3.5
52,후레자식,1927,4
52,DEY 호러채널,1950,3
52,12차원 소년들,1987,3
53,아이덴티티,1050,1
53,트럼프,1709,6
54,김부장,200,5
54,연애혁명,1191,2
54,참교육,1578,5
54,1초,1992,5
54,99강화나무몽둥이,2043,5
55,김부장,200,4
55,내가 죽기로 결심한 것은,282,3
55,내일,289,5
55,독립일기,404,5
55,먹는 인생,546,5
55,세기말 풋사과 보습학원,875,4
56,나의 플랏메이트,251,5
56,내가 키운 S급들,283,5
56,독립일기,404,5
56,럭키언럭키,460,4
56,마루는 강쥐,505,5
56,모죠의 일지,571,5
56,선천적 얼간이들,868,3
56,성스러운 그대 이르시길,871,4
56,세기말 풋사과 보습학원,875,5
56,신도림,988,4
56,신의 탑,1000,4
56,언덕 위의 제임스,1138,3
56,역전! 야매요리,1179,4
56,연애혁명,1191,5
56,윈드브레이커,1352,4
56,전지적 독자 시점,1480,3
56,좀비딸,1508,3
56,집이 없어,1561,5
56,키미앤조이,1661,4
56,트럼프,1709,5
56,하드캐리,1801,4
56,헬퍼,1866,3
56,화산귀환,1903,5
57,개를 낳았다,35,6
57,겟백,55,6
57,격기3반,59,6
57,그렇고 그런 바람에,173,6
57,꼬리잡기,207,6
57,나를 바꿔줘,236,6
57,내가 키운 S급들,283,6
57,내일,289,6
57,당신의 향수,364,6
57,돼지만화,418,1
57,똑 닮은 딸,443,6
57,라서드,450,6
57,랑데뷰,456,6
57,로어 올림푸스,477,6
57,마루는 강쥐,505,6
57,메소드 연기법,552,6
57,물위의 우리,604,6
57,미니어처 생활백서,608,6
57,민간인 통제구역,630,6
57,손 안의 안단테,911,6
57,숲속의 담,937,6
57,아홉수 우리들,1070,6
57,어글리 피플즈,1116,6
57,어글리후드,1117,6
57,오늘의 비너스,1237,6
57,위아더좀비,1347,6
57,이두나!,1380,6
57,전자오락수호대,1479,6
57,집이 없어,1561,6
57,초인의 시대,1615,6
57,쿠베라,1648,6
57,팔이피플,1735,6
57,평행도시,1749,6
57,푸쉬오프,1763,6
57,피라미드 게임,1781,6
57,하루만 네가 되고 싶어,1807,6
57,호랑이 들어와요,1881,6
57,화산귀환,1903,6
57,1초,1992,6
58,귀곡의 문,143,4
58,다이스(DICE),338,1
58,대학일기,372,3
58,백수세끼,673,2
58,신의 탑,1000,3
58,오늘도 사랑스럽개,1228,5
58,외모지상주의,1286,1
58,유미의 세포들 외전 : 프로 직장인,1358,5
58,이런 영웅은 싫어,1381,5
58,재혼 황후,1461,4
58,정년이,1486,5
58,트럼프,1709,4
58,하드캐리,1801,3
58,하루만 네가 되고 싶어,1807,5
58,화산귀환,1903,5
59,갓 오브 하이스쿨,23,4
59,급식아빠,185,6
59,노블레스,316,4
59,랜덤채팅의 그녀!,457,4
59,신의 탑,1000,4
59,여신강림,1167,3
59,연놈,1183,3
59,연애혁명,1191,4
59,윈드브레이커,1352,4
59,프리드로우,1769,4
59,헬퍼 2 : 킬베로스,1867,4
60,덴마,390,1
60,오늘도 사랑스럽개,1228,5
60,이번 생도 잘 부탁해,1387,5
61,구남친이 내게 반했다,116,6
61,스터디그룹,951,6
61,여신강림,1167,1
62,호랑이형님,1882,6
63,소녀의 세계,892,4
63,중증외상센터 : 골든 아워,1532,5
