,no,keyword,type
560,270,소설원작,6
561,271,서스펜스,3
562,271,드라마,1
563,272,회귀,2
564,272,선결혼후연애,5
565,272,로맨스,1
566,272,소설원작,6
567,273,고자극로맨스,2
568,273,서스펜스,3
569,273,로판,1
570,273,감성드라마,3
571,273,로맨스,1
572,273,성인웹툰,1
573,274,혐관로맨스,2
574,274,계약연애,5
575,274,구원서사,5
576,274,로맨스,1
577,275,로맨스,1
578,276,고자극로맨스,2
579,276,회귀,2
580,276,선결혼후연애,5
581,276,사내연애,2
582,276,로맨스,1
583,276,소설원작,6
584,277,로맨스,1
585,278,액션,1
586,279,일상,1
587,280,로맨스,1
588,281,로맨스,1
589,282,청춘로맨스,2
590,282,재회,5
591,282,로맨스,1
592,283,회귀,2
593,283,헌터물,1
594,283,이능력배틀물,1
595,283,소년왕도물,1
596,283,먼치킨,2
597,283,판타지,1
598,283,소설원작,6
599,284,2019 지상최대공모전,4
600,284,역하렘,1
601,284,연예계,2
602,284,로맨스,1
603,285,로맨스코미디,1
604,285,현실로맨스,2
605,285,선결혼후연애,5
606,285,로맨스,1
607,285,소설원작,6
608,286,로맨스,1
609,287,드라마&영화 원작웹툰,6
610,287,직업드라마,2
611,287,하이퍼리얼리즘,1
612,287,의학드라마,2
613,287,드라마,1
614,288,환골탈태,2
615,288,로맨스코미디,1
616,288,2021 지상최대공모전,6
617,288,로맨스,1
618,289,드라마&영화 원작웹툰,6
619,289,사이다,3
620,289,감성드라마,3
621,289,드라마,1
622,290,개그,1
623,291,개그,1
624,292,드라마&영화 원작웹툰,6
625,292,드라마,1
626,293,동물,2
627,293,로맨스,1
628,294,개그,1
629,295,소꿉친구,5
630,295,로맨스코미디,1
631,295,힐링,3
632,295,혐관로맨스,2
633,295,학원로맨스,2
634,295,하이틴,2
635,295,친구>연인,5
636,295,연상연하,5
637,295,성장드라마,2
638,295,로맨스,1
639,296,액션,1
640,297,로맨스,1
641,298,드라마,1
642,299,드라마,1
643,300,로맨스,1
644,301,드라마,1
645,302,하이틴,2
646,302,로맨스,1
647,303,학원로맨스,2
648,303,로맨스,1
649,304,비밀연애,2
650,304,짝사랑,5
651,304,2030연애,2
652,304,로맨스코미디,1
653,304,현실로맨스,2
654,304,직진남,5
655,304,연상연하,5
656,304,연예계,2
657,304,로맨스,1
658,305,학원로맨스,2
659,305,서스펜스,3
660,305,빙의,2
661,305,로맨스,1
662,306,감성드라마,3
663,306,드라마,1
664,307,혐관로맨스,2
665,307,로판,1
666,307,구원서사,5
667,307,로맨스,1
668,307,소설원작,6
669,308,판타지,1
670,309,sf,1
671,309,스릴러,1
672,310,개그,1
673,311,동물,2
674,311,일상,1
675,312,스릴러,1
676,313,청춘로맨스,2
677,313,성장드라마,2
678,313,로맨스,1
679,314,다크판타지,1
680,314,액션,1
681,315,서스펜스,3
682,315,스릴러,1
683,316,먼치킨,2
684,316,판타지,1
685,317,스릴러,1
686,318,드라마&영화 원작웹툰,6
687,318,로맨스,1
688,319,개그,1
689,320,드라마&영화 원작웹툰,6
690,320,개그,1
691,321,드라마&영화 원작웹툰,6
692,321,개그,1
693,322,드라마&영화 원작웹툰,6
694,322,개그,1
695,323,드라마,1
696,324,병맛,3
697,324,학원물,6
698,324,괴담,3
699,324,스릴러,1
700,325,드라마,1
701,326,드라마,1
702,327,최강자전,4
703,327,2017 최강자전,6
704,327,판타지,1
705,328,동양풍판타지,1
706,328,판무,1
707,328,무협/사극,1
708,329,드라마,1
709,330,스릴러,1
710,331,드라마,1
711,332,로맨스,1
712,333,드라마,1
713,334,퓨전사극,1
714,334,로맨스,1
715,334,소설원작,6
716,335,힐링,3
717,335,감성,3
718,336,성별반전,2
719,336,로맨스,1
720,337,드라마,1
721,338,판타지,1
722,339,감성,3
723,340,드라마&영화 원작웹툰,6
724,340,의학드라마,2
725,340,드라마,1
726,341,드라마&영화 원작웹툰,6
727,341,의학드라마,2
728,341,드라마,1
729,342,스릴러,1
730,342,성인웹툰,1
731,343,일상,1
732,344,드라마,1
733,345,드라마,1
734,346,드라마,1
735,347,드라마,1
736,348,로맨스,1
737,349,최강자전,4
738,349,2020 최강자전,4
739,349,오컬트,2
740,349,판타지,1
741,350,로맨스,1
742,351,개그,1
743,352,드라마,1
744,353,2020 지상최대공모전,4
745,353,혐관로맨스,2
746,353,퓨전사극,1
747,353,로맨스,1
748,354,궁중로맨스,2
749,354,2020 지상최대공모전,4
750,354,퓨전사극,1
751,354,성장드라마,2
752,354,로맨스,1
753,355,계약연애,5
754,355,로맨스,1
755,355,소설원작,6
756,356,공감성수치,3
757,356,일상,1
758,357,드라마,1
759,358,2019 지상최대공모전,4
760,358,병맛,3
761,358,개그,1
762,359,드라마,1
763,360,스릴러,1
764,361,로맨스,1
765,362,복수극,2
766,362,드라마,1
767,363,로맨스,1
768,363,소설원작,6
769,364,드라마,1
770,365,계약연애,5
771,365,이세계,1
772,365,로맨스,1
773,366,드라마,1
774,367,드라마,1
775,368,스릴러,1
776,369,로맨스코미디,1
777,369,캠퍼스로맨스,2
778,369,삼각관계,5
779,369,로맨스,1
780,370,로맨스,1
781,371,하이퍼리얼리즘,1
782,371,일상,1
783,372,개그,1
784,373,게임판타지,2
785,373,먼치킨,2
786,373,판타지,1
787,374,스릴러,1
788,375,격투기,2
789,375,힐링,3
790,375,직업드라마,2
791,375,스포츠성장,2
792,375,먼치킨,2
793,375,스포츠,1
794,376,걸크러시,5
795,376,액션,1
796,377,스릴러,1
797,378,게임판타지,2
798,378,스포츠성장,2
799,378,액션,1
800,379,복수극,2
801,379,먼치킨,2
802,379,판타지,1
803,379,소설원작,6
804,380,아포칼립스,2
805,380,스릴러,1
806,381,좀비,2
807,381,액션,1
808,382,아포칼립스,2
809,382,판타지,1
810,383,스릴러,1
811,384,판타지,1
812,385,액션,1
813,386,스릴러,1
814,387,드라마,1
815,388,드라마,1
816,389,스릴러,1
817,390,판타지,1
818,391,sf,1
819,391,판타지,1
820,392,판타지,1
821,393,판타지,1
822,394,동양풍판타지,1
823,394,인외존재,2
824,394,성장드라마,2
825,394,걸크러시,5
826,394,드라마,1
827,395,판타지,1
828,396,로맨스,1
829,397,판타지,1
830,398,드라마,1
831,399,판타지,1
832,400,드라마,1
833,401,드라마,1
834,402,스릴러,1
835,403,드라마,1
836,404,일상,1
837,405,로맨스,1
838,405,소설원작,6
839,406,드라마,1
840,406,성인웹툰,1
841,407,연예계,2
842,407,드라마,1
843,408,액션,1
844,409,로맨스,1
845,409,소설원작,6
846,410,일상,1
847,411,액션,1
848,412,법정드라마,2
849,412,드라마&영화 원작웹툰,6
850,412,드라마,1
851,413,법정드라마,2
852,413,드라마&영화 원작웹툰,6
853,413,드라마,1
854,414,소꿉친구,5
855,414,청춘로맨스,2
856,414,연상연하,5
857,414,역하렘,1
858,414,삼각관계,5
859,414,로맨스,1
860,415,판타지,1
861,416,액션,1
862,417,로맨스코미디,1
863,417,캠퍼스로맨스,2
864,417,친구>연인,5
865,417,연상연하,5
866,417,로맨스,1
867,418,일상,1
868,419,스릴러,1
869,420,직업드라마,2
870,420,회귀,2
871,420,연예계,2
872,420,판타지,1
873,420,소설원작,6
874,421,로맨스,1
875,421,소설원작,6
876,422,로맨스,1
877,423,로맨스,1
878,423,소설원작,6
879,424,로맨스,1
880,425,로맨스,1
881,426,드라마,1
882,427,2019 지상최대공모전,4
